degreeAccronym|degreeName 
AOS|Associate in Occupational Studies
APA|Australian Postgraduate Award
APAV|Accreditation Program for Australian Veterinarians
APD|Accredited Practicing Dietitian (Australia)
APSM|Applied Physiology and Sport Management
ARCS|Associate(-ship) of the Royal College of Science
ARCT|Associate of the Royal Conservatory of Toronto
ARE|Academic Research and Engineering
ARTHIST|Art History
ARTSVIS|Visual Arts
AS|Associate of Science
AS|Advanced Subsidiary
ASE|Adult Secondary Education
ASES|Associate of Science in Engineering Science
ASET|Applied Science Engineering and Technology
ASN|Associate of Science in Nursing
AST|Associate in Specialized Technology
AST|Agricultural Systems Technology
ATCP|Agriculture, Trade, and Consumer Protection
ATD|Art Teaching Diploma
ATOL|Air Travel Orgainsers License
AU.D.|Doctor of Audiology
Aud. D.|Doctor of Audiology
AVCE|Advanced Vocational Certificate of Education
B Agr Sc|Bachelor of Agricultural Science
B. Ch. D.|Bachelor of Dental Surgery
B. Com|Bachelor of Commerce
B. D Sc.|Bachelor of Dental Science
B. D. M.|Bachelor of Dental Medicine
B. Dent. Sc.|Bachelor of Dental Science
B. LIB. STUD.|Bachelor of Library Studies
B. Optom.|Bachelor of Optometry
B. Pharm.|Bachelor of Pharmacy
B. Pod.|Bachelor of Podiatry
B.A.|Bachelor of Arts
B.A.M.|Bachelor of Applied Mathematics
B.Arch.|Bachelor of Architecture
B.B.A.|Bachelor of Business Administration
B.C.L.|Bachelor of Canon Law
B.Ch.D.|Bachelor of Dental Surgery
B.Ch.E|Bachelor of Chemical Engineering
B.CHIR.|Bachelopr of Surgery [Lat.]
B.D.M.|Bachelot of Dental Medicine
B.D.M.|Bachelor of Dental Medicine
B.D.S.|Bachelor of Dental Science
B.D.S.|Bachelor of Dental Surgery
B.D.Sc.|Bachelor of Dental Science
B.Dent.|Bachelor of Dentistry
B.Dent.S|Bachelor of Dental Surgery
B.Dent.S.|Bachelor of Dental Surgery
B.Dent.Sc.|Bachelor of Dental Science
B.E.|Bachelor of Engineering
B.Ec.|Bachelor of Economics
B.Ed|Bachelor of Education
B.J.|Bachelor Of Journalism
B.L.|Bachelor of Laws
B.L.I.S.|Bachelor of Library & Information Science
B.LI.S.|Bachelor Of Library Science
B.LIT.|Bachelor Of Literature Science
B.M.|Bachelor of Medicine
B.M.|Bachelor of Music
B.M.,B.S.|Bachelor of Medicine,Bachelor of Surgery
B.M.S.|Bachelor of Machine Science
B.M.S.|Bachelor of Marine Science
B.O.H.D.Sc.|Bachelor of Oral Health in Dental Science
B.OPT|Bachelor of Optometry
B.R.E.|Bachelor of Religious Education
B.S.BM.E.|Bachelor of Science in Biomedical Engineering
B.S.P.T.|Bachelor of Science in Physical Therapy
B.Sc.|Bachelor of Science
B.Sc.P.T.|Bachelor of Science in Physical Therapy
B.SOC.SCI|Bachelor of Social Science
B.TECH.|Bachelor of Technology
B.Th.|Bachelor of Theology
B.V.M.S.|Bachelor of Veterinary Medical Science
B.V.S.|Bachelor of Veterinary Science
B.V.Sc.|Bachelor of Veterinary Science
B.V.SC.&A.H.;|Bachelor of Veterinary Science and Animal Husbandry
BA|Business Administration
BA|Bachelor of Attendance
BA|Bachelor of Arts
BAAE|Bachelor of Aeronautical and Astronautical Engineering
BAAS|Bachelor of Applied Arts and Sciences
BACS|Bachelor of Administrative and Commercial Studies
BACY|Bachelor of Accountancy
BADS|Bachelor of Arts Development Studies
BAE|Bachelor of Architectural Engineering
BAEE|Bachelor of Arts in Elementary Education
BAILS|Bachelor of Arts In Liberal Studies
BAMS|Bachelor of Ayurvedic Medicine and Surgery
BAPSC|Bachelor of Applied Science (Engineering)
BAPW|Bachelor of Arts in Professional Writing
BARCH|Bachelor of Architecture
BASB|Bachelor of Accounting and Sustainable Business
BASLP|Bachelor Of Audio Speech Language Pathology
BAVI|Bachelor of Applied Visual Imaging
BBA|Bachelor of Business Administration
BBA|Bachelor of Business Administraion
BBAE|Bachelor of Business Administration and Engineering
BBE|Bachelor of Business Education
BBEF|Bachelor of Business Economics and Finance
BBI|Bachelor of Banking & Insurance
BBIS|Bachelor of Business Information Systems
BBL|Bachelor of Business Laws
BBM|Bachelor of Business Management
BBSc|Bachelor of Behavioural Science
BBus|Bachelor of Business
BCA|Bachelor of Computer Applications
BCBB|Bachelor of Commerce and Bachelor of Business double degree
BCCP|Business Continuity Certified Planner
BCD|Board Certified Diplomate in Clinical Social Work
BCE|Bachelor of Computer Engineering
BCE|Bachelor of Chemical Engineering
BCE|Bachelor of Civil Engineering
BCE|Bio-Chemical Engineering
BCIS|Bachelor of Computer Information Systems
BCIT|Bachelor in Computer sciences and Information Technology
BCL|Bachelor of Civil Law
BCMP|Biology, Chemistry, Math, And Physics
BCom|Bachelor of Commerce
BCOM|Bachelor of Communications
BCOMM|Bachelor of Commerce
BCS|Bachelor of Computer Science
BD|Bachelor's Degree
BDent|Bachelor of Dentistry
BDES|Bachelor of Design
BDiv|Bachelor of Divinity
BDM|Bachelor of Dental Medicine
BDM|Bachelor of Digital Media
BDMS|Bimap Diploma in Management Studies
BDS|Bachelor of Dental Surgery
BDSc|Bachelor of Dental Science
A.B.|Artium Baccalaureaus
A.M.T|Master of Arts in Teaching
A.Mus.A.|Associate in Music, Australia
A2|Advanced Level 2 (UK educational qualification)
AA|Associate of Arts
AA|Associate in Arts
AA DIP|Antillean Academy DIPloma
AA DIP|Architectural Association Diploma
AAA|Asian Art Appreciation
AAAS|African and African American Studies
AAD|Antillean Academy Diploma
AAFPRS|Fellow of the American Academy of Facial Plastic and Reconstructive Surgery
AAGS|Associate of Arts in General Studies
AAS|Associate of Applied Sciences
AAS|Associate in Applied Science
AASET|Associate of Applied Science in Electrical Technology
AAV|AQIS Accredited Vet
AB|Ars Bachelor
ABA|Associate in Business Administration
ABE|Agricultural Biological Engineering
ABE|Agricultural and Biological Engineering
Aberd.|Aberdeen (Aberdonensis) [Latin]
Aberd.|Aberdonensis (Aberdeen) [Lat.]
ABib|Associate of Bible
ABIM|American Board of Internal Medicine
ABS|Associate in Business Science
ABS|Associate in Business Studies
ABS|Associate in Baccalaureate Studies
ABS|Accelerated Bachelor of Science
ABT|All But Thesis
AC|Applied Communications
ACCP|Addictions Counseling Certificate Program
ACES|Agriculture, Consumer, and Environmental Sciences
ACID|Atomicity Consistency Isolation Durability
ACRL|Advanced Certificate in Rowing Leadership
ACSC|Alabama Controlled Substances Certificate
AD|Associate Degree
ADE|Associate Degree in Education
ADFD|Advance Diploma in Fashion Designing
ADN|Associate Degree in Nursing
ADP|Approved Degree Plan
ADSD|Advanced Diploma in Software Development
ADSE|Advanced Diploma of Software Engineering
AEJ|Associate for Education in Journalism
AFA|Associate in Fine Arts
AFCS|Applied Family and Child Studies
AFPC|Advanced Financial Planning Certificate
AFS|Africana Studies
AGDP|Accelerated Graduate Degree Programs
AGDP|Acquisition Graduate Degree Program
AGGP|Animation and Graphic Game Programming Degree
AHA|Art History and Architecture
AHA|Academics Highly Achieved
AHM|Assistant Headmaster
AHM|Assistant Headmistress
AISM|Associate of Indian School of Mines
AIT|Applied Information Technology
AJD|Accelerated Juris Doctorate
AJP|Accredited Jewelry Professional
AK|Applied Kinesiology
AKC|Associate of King's College
AM|Artium Magister (Master of Arts)
AMBA|Accelerated Masters in Business Administration
AMIE|Associate Member of Indian Engineers
AMO IN PAF|army medical officer 'REDUCTION IN-FORSE' ARM4CEMD
AMTC|Agency Management Training Certification
AMusD|Doctor of Musical Arts
AOA|alpha omega alpha
AOS|Associate in Occupational Studies
APA|Australian Postgraduate Award
APAV|Accreditation Program for Australian Veterinarians
APD|Accredited Practicing Dietitian (Australia)
APSM|Applied Physiology and Sport Management
ARCS|Associate(-ship) of the Royal College of Science
ARCT|Associate of the Royal Conservatory of Toronto
ARE|Academic Research and Engineering
ARTHIST|Art History
ARTSVIS|Visual Arts
AS|Associate of Science
AS|Advanced Subsidiary
ASE|Adult Secondary Education
ASES|Associate of Science in Engineering Science
ASET|Applied Science Engineering and Technology
ASN|Associate of Science in Nursing
AST|Associate in Specialized Technology
AST|Agricultural Systems Technology
ATCP|Agriculture, Trade, and Consumer Protection
ATD|Art Teaching Diploma
ATOL|Air Travel Orgainsers License
AU.D.|Doctor of Audiology
Aud. D.|Doctor of Audiology
AVCE|Advanced Vocational Certificate of Education
B Agr Sc|Bachelor of Agricultural Science
B. Ch. D.|Bachelor of Dental Surgery
B. Com|Bachelor of Commerce
B. D Sc.|Bachelor of Dental Science
B. D. M.|Bachelor of Dental Medicine
B. Dent. Sc.|Bachelor of Dental Science
B. LIB. STUD.|Bachelor of Library Studies
B. Optom.|Bachelor of Optometry
B. Pharm.|Bachelor of Pharmacy
B. Pod.|Bachelor of Podiatry
B.A.|Bachelor of Arts
B.A.M.|Bachelor of Applied Mathematics
B.Arch.|Bachelor of Architecture
B.B.A.|Bachelor of Business Administration
B.C.L.|Bachelor of Canon Law
B.Ch.D.|Bachelor of Dental Surgery
B.Ch.E|Bachelor of Chemical Engineering
B.CHIR.|Bachelopr of Surgery [Lat.]
B.D.M.|Bachelot of Dental Medicine
B.D.M.|Bachelor of Dental Medicine
B.D.S.|Bachelor of Dental Science
B.D.S.|Bachelor of Dental Surgery
B.D.Sc.|Bachelor of Dental Science
B.Dent.|Bachelor of Dentistry
B.Dent.S|Bachelor of Dental Surgery
B.Dent.S.|Bachelor of Dental Surgery
B.Dent.Sc.|Bachelor of Dental Science
B.E.|Bachelor of Engineering
B.Ec.|Bachelor of Economics
B.Ed|Bachelor of Education
B.J.|Bachelor Of Journalism
B.L.|Bachelor of Laws
B.L.I.S.|Bachelor of Library & Information Science
B.LI.S.|Bachelor Of Library Science
B.LIT.|Bachelor Of Literature Science
B.M.|Bachelor of Medicine
B.M.|Bachelor of Music
B.M.,B.S.|Bachelor of Medicine,Bachelor of Surgery
B.M.S.|Bachelor of Machine Science
B.M.S.|Bachelor of Marine Science
B.O.H.D.Sc.|Bachelor of Oral Health in Dental Science
B.OPT|Bachelor of Optometry
B.R.E.|Bachelor of Religious Education
B.S.BM.E.|Bachelor of Science in Biomedical Engineering
B.S.P.T.|Bachelor of Science in Physical Therapy
B.Sc.|Bachelor of Science
B.Sc.P.T.|Bachelor of Science in Physical Therapy
B.SOC.SCI|Bachelor of Social Science
B.TECH.|Bachelor of Technology
B.Th.|Bachelor of Theology
B.V.M.S.|Bachelor of Veterinary Medical Science
B.V.S.|Bachelor of Veterinary Science
B.V.Sc.|Bachelor of Veterinary Science
B.V.SC.&A.H.;|Bachelor of Veterinary Science and Animal Husbandry
BA|Business Administration
BA|Bachelor of Attendance
BA|Bachelor of Arts
BAAE|Bachelor of Aeronautical and Astronautical Engineering
BAAS|Bachelor of Applied Arts and Sciences
BACS|Bachelor of Administrative and Commercial Studies
BACY|Bachelor of Accountancy
BADS|Bachelor of Arts Development Studies
BAE|Bachelor of Architectural Engineering
BAEE|Bachelor of Arts in Elementary Education
BAILS|Bachelor of Arts In Liberal Studies
BAMS|Bachelor of Ayurvedic Medicine and Surgery
BAPSC|Bachelor of Applied Science (Engineering)
BAPW|Bachelor of Arts in Professional Writing
BARCH|Bachelor of Architecture
BASB|Bachelor of Accounting and Sustainable Business
BASLP|Bachelor Of Audio Speech Language Pathology
BAVI|Bachelor of Applied Visual Imaging
BBA|Bachelor of Business Administration
BBA|Bachelor of Business Administraion
BBAE|Bachelor of Business Administration and Engineering
BBE|Bachelor of Business Education
BBEF|Bachelor of Business Economics and Finance
BBI|Bachelor of Banking & Insurance
BBIS|Bachelor of Business Information Systems
BBL|Bachelor of Business Laws
BBM|Bachelor of Business Management
BBSc|Bachelor of Behavioural Science
BBus|Bachelor of Business
BCA|Bachelor of Computer Applications
BCBB|Bachelor of Commerce and Bachelor of Business double degree
BCCP|Business Continuity Certified Planner
BCD|Board Certified Diplomate in Clinical Social Work
BCE|Bachelor of Computer Engineering
BCE|Bachelor of Chemical Engineering
BCE|Bachelor of Civil Engineering
BCE|Bio-Chemical Engineering
BCIS|Bachelor of Computer Information Systems
BCIT|Bachelor in Computer sciences and Information Technology
BCL|Bachelor of Civil Law
BCMP|Biology, Chemistry, Math, And Physics
BCom|Bachelor of Commerce
BCOM|Bachelor of Communications
BCOMM|Bachelor of Commerce
BCS|Bachelor of Computer Science
BD|Bachelor's Degree
BDent|Bachelor of Dentistry
BDES|Bachelor of Design
BDiv|Bachelor of Divinity
BDM|Bachelor of Dental Medicine
BDM|Bachelor of Digital Media
BDMS|Bimap Diploma in Management Studies
BDS|Bachelor of Dental Surgery
BDSc|Bachelor of Dental Science
BE|Bachelor of Engineering
BEAT|Biomedical and Environmental Agriculture Technology
BEC|Business English Certificate
BED|Bachelor of Education
BEMA|Biomedical Engineering Materials And Applications
BENG|Bachelor of Engineering
BES|Bachelor Of Electronic Science
BES|Bachelors of Environmental Studies
BES|Bachelor of Environmental Science
BES|Bachelor of Environmental Studies
BFA|Bachelor of Fine Arts
BFor.Od.|Bachelor of Forensic Odontology
BFPSD|Business Financial Planning Specialist Diploma
BFSC|Bachelor of Forensic Science
BGS|Bachelor of General Studies
BHA|Bachelor of Hotel Administration
BHA|Bachelor in Health Administration
BHE|Blissborn Hypnosis Educator
BHK|Bachelor of Human Kinetics
BHL|Bachelor of Hebrew Literature
BHM|Bachelor of Hotel Management
BHMS|Bachelor of Medicine and Surgery
BHMS|Bachelor of Homeopathic Medicine and Surgery
BHND|Bachelor of Science in Human Nutrition and Dietetics
BHS|Bachelor in Health Science
A.B.|Artium Baccalaureaus
A.M.T|Master of Arts in Teaching
A.Mus.A.|Associate in Music, Australia
A2|Advanced Level 2 (UK educational qualification)
AA|Associate of Arts
AA|Associate in Arts
AA DIP|Antillean Academy DIPloma
AA DIP|Architectural Association Diploma
AAA|Asian Art Appreciation
AAAS|African and African American Studies
AAD|Antillean Academy Diploma
AAFPRS|Fellow of the American Academy of Facial Plastic and Reconstructive Surgery
AAGS|Associate of Arts in General Studies
AAS|Associate of Applied Sciences
AAS|Associate in Applied Science
AASET|Associate of Applied Science in Electrical Technology
AAV|AQIS Accredited Vet
AB|Ars Bachelor
ABA|Associate in Business Administration
ABE|Agricultural Biological Engineering
ABE|Agricultural and Biological Engineering
Aberd.|Aberdeen (Aberdonensis) [Latin]
Aberd.|Aberdonensis (Aberdeen) [Lat.]
ABib|Associate of Bible
ABIM|American Board of Internal Medicine
ABS|Associate in Business Science
ABS|Associate in Business Studies
ABS|Associate in Baccalaureate Studies
ABS|Accelerated Bachelor of Science
ABT|All But Thesis
AC|Applied Communications
ACCP|Addictions Counseling Certificate Program
ACES|Agriculture, Consumer, and Environmental Sciences
ACID|Atomicity Consistency Isolation Durability
ACRL|Advanced Certificate in Rowing Leadership
ACSC|Alabama Controlled Substances Certificate
AD|Associate Degree
ADE|Associate Degree in Education
ADFD|Advance Diploma in Fashion Designing
ADN|Associate Degree in Nursing
ADP|Approved Degree Plan
ADSD|Advanced Diploma in Software Development
ADSE|Advanced Diploma of Software Engineering
AEJ|Associate for Education in Journalism
AFA|Associate in Fine Arts
AFCS|Applied Family and Child Studies
AFPC|Advanced Financial Planning Certificate
AFS|Africana Studies
AGDP|Accelerated Graduate Degree Programs
AGDP|Acquisition Graduate Degree Program
AGGP|Animation and Graphic Game Programming Degree
AHA|Art History and Architecture
AHA|Academics Highly Achieved
AHM|Assistant Headmaster
AHM|Assistant Headmistress
AISM|Associate of Indian School of Mines
AIT|Applied Information Technology
AJD|Accelerated Juris Doctorate
AJP|Accredited Jewelry Professional
AK|Applied Kinesiology
AKC|Associate of King's College
AM|Artium Magister (Master of Arts)
AMBA|Accelerated Masters in Business Administration
AMIE|Associate Member of Indian Engineers
AMO IN PAF|army medical officer 'REDUCTION IN-FORSE' ARM4CEMD
AMTC|Agency Management Training Certification
AMusD|Doctor of Musical Arts
AOA|alpha omega alpha
AOS|Associate in Occupational Studies
APA|Australian Postgraduate Award
APAV|Accreditation Program for Australian Veterinarians
APD|Accredited Practicing Dietitian (Australia)
APSM|Applied Physiology and Sport Management
ARCS|Associate(-ship) of the Royal College of Science
ARCT|Associate of the Royal Conservatory of Toronto
ARE|Academic Research and Engineering
ARTHIST|Art History
ARTSVIS|Visual Arts
AS|Associate of Science
AS|Advanced Subsidiary
ASE|Adult Secondary Education
ASES|Associate of Science in Engineering Science
ASET|Applied Science Engineering and Technology
ASN|Associate of Science in Nursing
AST|Associate in Specialized Technology
AST|Agricultural Systems Technology
